id,pokemon_ability_id,effect,language,short_effect
201,201,"Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Raises this Pokémon's Special Attack by one stage every time its HP drops below half.
202,202,"During Hail, this Pokémon has double Speed.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","During Hail, this Pokémon has double Speed."
203,203,A move used by this Pokémon will not make contact.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon's moves do not make contact.
204,204,"When this Pokémon uses a move that is sound-based, that move's type is Water.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Sound-based moves become Water-type.
205,205,This Pokémon's healing moves have their priority increased by 3.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon's healing moves have their priority increased by 3.
206,206,"When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon's Normal moves are Electric and have their power increased to 1.2×.
207,207,Doubles this Pokémon's Speed on Electric Terrain.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Doubles this Pokémon's Speed on Electric Terrain.
208,208,"If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.

This ability cannot be replaced, copied, or nullified.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Wishiwashi becomes Schooling Form when its HP is 25% or higher.
209,209,"If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.

This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Prevents the first instance of battle damage.
210,210,"Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.

This ability cannot be copied or replaced.  This ability only takes effect for Greninja.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.
211,211,"Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.

This ability cannot be copied or replaced.  This ability only takes effect for Zygarde.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.
212,212,This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon can inflict poison on Poison and Steel Pokémon.
213,213,This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon always  acts as though it were Asleep.
214,214,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",Opposing Pokémon cannot use priority attacks.
